AREA:SIERRA
MODE_S
N045.10.10.825 E015.49.17.633
N048.12.37.134 E026.16.23.599
N048.03.04.314 E026.08.49.844
N047.56.49.470 E025.14.24.981
N047.45.57.944 E025.02.56.516
N047.46.50.189 E024.56.19.009
N047.53.49.096 E024.45.54.434
N047.59.46.750 E024.34.35.568
N047.59.45.571 E024.23.05.971
N047.55.33.182 E024.14.30.934
N048.00.30.776 E023.58.22.274
N048.02.55.546 E023.29.38.711
N048.08.57.240 E023.09.17.851
N048.11.50.847 E022.39.28.880
N048.26.30.081 E022.17.59.952
N048.58.48.181 E022.37.35.613
N049.11.04.087 E022.35.04.126
N049.35.29.335 E021.26.58.510
N049.27.54.691 E020.52.56.710
N049.28.36.454 E020.22.00.653
N049.20.42.160 E019.59.16.888
N049.25.23.062 E019.47.01.190
N049.39.32.431 E019.30.47.810
N049.30.19.932 E019.07.24.302
N049.35.12.153 E018.58.04.280
N049.59.24.205 E018.33.03.509
N050.27.10.424 E017.32.04.296
N051.06.56.066 E015.03.41.309
N051.29.06.757 E015.02.16.441
N051.36.14.460 E014.50.43.842
N051.50.55.310 E014.49.38.446
N052.31.34.741 E014.43.52.653
N052.54.45.462 E014.20.01.061
N053.18.06.595 E014.35.26.957
N054.04.31.363 E014.22.34.530
N054.49.52.219 E014.14.31.925
N054.47.28.751 E012.33.20.039
N054.19.06.718 E011.42.30.507
N054.36.22.778 E011.15.42.633
N054.35.24.937 E010.30.32.835
N054.49.40.957 E009.52.35.231
N054.55.38.111 E007.59.00.554
N053.53.46.003 E003.53.32.166
N051.26.51.598 E002.05.18.670
N049.44.36.992 W000.16.05.203
N050.04.11.722 W002.05.55.053
N048.42.41.544 W006.04.54.328
N046.57.32.392 W005.35.07.510
N046.29.36.943 W003.24.18.847
N045.46.09.399 W002.21.06.976
N044.21.49.759 W002.19.41.047
N043.19.56.702 W001.44.59.968
N043.09.44.968 W001.29.46.589
N042.59.03.109 W001.31.02.541
N042.58.32.937 W001.21.15.805
N042.58.06.351 W001.14.24.497
N042.52.31.987 W000.48.20.686
N042.42.47.740 W000.32.46.279
N042.45.04.699 W000.24.30.961
N042.43.16.931 W000.11.52.779
N042.36.14.563 W000.02.05.470
N042.39.36.000 E000.11.38.777
N042.37.42.976 E000.42.49.291
N042.46.23.187 E000.45.22.760
N042.37.31.066 E001.18.45.598
N042.31.46.415 E001.29.18.027
N042.25.09.763 E001.53.07.001
N042.16.27.524 E002.01.46.911
N042.22.39.153 E002.17.17.599
N042.17.12.619 E002.28.09.814
N042.20.33.347 E002.51.25.811
N042.23.30.302 E002.59.13.858
N042.19.20.383 E003.17.55.895
N041.28.07.503 E004.11.18.141
N041.18.52.872 E006.07.52.100
N038.17.43.760 E006.23.20.589
N038.02.54.749 E009.06.13.084
N038.10.19.141 E011.03.35.791
N036.43.23.785 E012.25.19.123
N036.01.32.918 E015.11.43.232
N038.22.23.362 E018.05.20.217
N039.58.56.300 E018.56.50.109
N041.24.52.748 E018.25.44.435
N041.56.29.225 E017.56.31.550
N042.35.10.223 E018.14.16.407
N042.57.56.809 E017.43.06.401
N043.06.43.710 E017.35.56.893
N043.10.55.064 E017.26.07.812
N043.13.48.784 E017.25.21.319
N043.16.31.510 E017.20.13.505
N043.24.00.075 E017.14.46.061
N043.27.31.146 E017.16.51.694
N043.29.23.567 E017.14.00.406
N043.29.36.779 E017.09.59.841
N043.36.54.554 E016.58.39.746
N044.14.30.332 E016.16.02.507
N044.39.29.524 E016.04.49.930
N044.47.40.303 E015.50.35.815
N044.55.45.190 E015.48.23.805

//FIS-Squawks
AREA:GGCIDM
N047.53.53.000 E009.50.04.200
N048.28.22.000 E010.30.00.600
N048.19.00.000 E011.56.60.000
N048.17.41.000 E013.10.28.200
N048.16.44.000 E013.07.51.000
N048.16.44.000 E013.07.51.000
N048.16.38.000 E013.06.47.000
N048.16.38.000 E013.06.47.000
N048.16.37.000 E013.04.47.000
N048.16.37.000 E013.04.47.000
N048.16.11.000 E013.03.53.000
N048.16.11.000 E013.03.53.000
N048.15.33.000 E013.01.35.000
N048.15.33.000 E013.01.35.000
N048.15.18.000 E013.00.58.000
N048.15.18.000 E013.00.58.000
N048.14.58.000 E013.00.34.000
N048.14.58.000 E013.00.34.000
N048.14.03.000 E012.59.39.000
N048.14.03.000 E012.59.39.000
N048.12.24.000 E012.56.48.000
N048.12.24.000 E012.56.48.000
N048.12.15.000 E012.54.06.000
N048.12.15.000 E012.54.06.000
N048.11.56.000 E012.51.59.000
N048.11.56.000 E012.51.59.000
N048.11.04.000 E012.51.36.000
N048.11.04.000 E012.51.36.000
N048.10.01.000 E012.50.50.000
N048.10.01.000 E012.50.50.000
N048.09.58.000 E012.50.22.000
N048.09.58.000 E012.50.22.000
N048.09.50.000 E012.50.06.000
N048.09.50.000 E012.50.06.000
N048.09.22.000 E012.49.58.000
N048.09.22.000 E012.49.58.000
N048.09.07.000 E012.48.53.000
N048.09.07.000 E012.48.53.000
N048.08.49.000 E012.47.59.000
N048.08.49.000 E012.47.59.000
N048.08.37.000 E012.47.51.000
N048.08.37.000 E012.47.51.000
N048.07.28.000 E012.47.16.000
N048.07.28.000 E012.47.16.000
N048.07.23.000 E012.46.54.000
N048.07.23.000 E012.46.54.000
N048.07.42.000 E012.46.10.000
N048.07.42.000 E012.46.10.000
N048.07.41.000 E012.45.41.000
N048.07.41.000 E012.45.41.000
N048.07.30.000 E012.45.28.000
N048.07.30.000 E012.45.28.000
N048.07.06.000 E012.45.30.000
N048.07.06.000 E012.45.30.000
N048.06.30.000 E012.44.57.000
N048.06.30.000 E012.44.57.000
N048.04.53.000 E012.45.19.000
N048.04.53.000 E012.45.19.000
N048.04.15.000 E012.45.50.000
N048.04.15.000 E012.45.50.000
N048.02.32.000 E012.48.36.000
N048.02.32.000 E012.48.36.000
N048.01.13.000 E012.50.42.000
N048.01.13.000 E012.50.42.000
N048.00.24.000 E012.51.27.000
N048.00.24.000 E012.51.27.000
N047.58.03.000 E012.52.13.000
N047.58.03.000 E012.52.13.000
N047.57.36.000 E012.52.54.000
N047.57.36.000 E012.52.54.000
N047.57.26.000 E012.54.36.000
N047.57.26.000 E012.54.36.000
N047.57.14.000 E012.55.07.000
N047.57.14.000 E012.55.07.000
N047.56.41.000 E012.55.09.000
N047.56.41.000 E012.55.09.000
N047.56.25.000 E012.55.15.000
N047.56.25.000 E012.55.15.000
N047.56.20.000 E012.55.34.000
N047.56.20.000 E012.55.34.000
N047.56.27.000 E012.56.04.000
N047.56.27.000 E012.56.04.000
N047.56.38.000 E012.56.13.000
N047.56.38.000 E012.56.13.000
N047.55.60.000 E012.56.24.000
N047.55.60.000 E012.56.24.000
N047.54.60.000 E012.57.02.000
N047.54.60.000 E012.57.02.000
N047.52.36.000 E012.58.53.000
N047.52.36.000 E012.58.53.000
N047.51.15.000 E013.00.05.000
N047.51.15.000 E013.00.05.000
N047.50.31.000 E013.00.10.000
N047.50.31.000 E013.00.10.000
N047.50.02.000 E012.59.31.000
N047.50.02.000 E012.59.31.000
N047.49.32.000 E012.58.58.000
N047.49.32.000 E012.58.58.000
N047.47.52.000 E012.57.42.000
N047.47.52.000 E012.57.42.000
N047.47.15.000 E012.56.54.000
N047.47.15.000 E012.56.54.000
N047.47.10.000 E012.56.37.000
N047.47.10.000 E012.56.37.000
N047.46.60.000 E012.56.18.000
N047.46.60.000 E012.56.18.000
N047.46.41.000 E012.56.21.000
N047.46.41.000 E012.56.21.000
N047.46.23.000 E012.55.47.000
N047.46.23.000 E012.55.47.000
N047.46.14.000 E012.55.57.000
N047.46.14.000 E012.55.57.000
N047.46.12.000 E012.56.05.000
N047.46.12.000 E012.56.05.000
N047.45.51.000 E012.56.41.000
N047.45.51.000 E012.56.41.000
N047.45.28.000 E012.56.06.000
N047.45.28.000 E012.56.06.000
N047.45.29.000 E012.56.12.000
N047.45.29.000 E012.56.12.000
N047.45.13.000 E012.56.09.000
N047.45.13.000 E012.56.09.000
N047.44.50.000 E012.56.06.000
N047.44.50.000 E012.56.06.000
N047.44.43.000 E012.55.51.000
N047.44.43.000 E012.55.51.000
N047.44.41.000 E012.55.42.000
N047.44.41.000 E012.55.42.000
N047.44.36.000 E012.55.16.000
N047.44.36.000 E012.55.16.000
N047.44.14.000 E012.54.48.000
N047.44.14.000 E012.54.48.000
N047.43.59.000 E012.54.40.000
N047.43.59.000 E012.54.40.000
N047.43.38.000 E012.54.16.000
N047.43.38.000 E012.54.16.000
N047.43.22.000 E012.54.22.000
N047.43.22.000 E012.54.22.000
N047.43.06.000 E012.54.45.000
N047.43.06.000 E012.54.45.000
N047.43.00.000 E012.54.59.000
N047.43.00.000 E012.54.59.000
N047.42.49.000 E012.55.22.000
N047.42.49.000 E012.55.22.000
N047.42.39.000 E012.55.30.000
N047.42.39.000 E012.55.30.000
N047.42.34.000 E012.55.59.000
N047.42.34.000 E012.55.59.000
N047.42.42.000 E012.56.40.000
N047.42.42.000 E012.56.40.000
N047.42.38.000 E012.57.02.000
N047.42.38.000 E012.57.02.000
N047.42.28.000 E012.57.24.000
N047.42.28.000 E012.57.24.000
N047.42.34.000 E012.57.45.000
N047.42.34.000 E012.57.45.000
N047.42.28.000 E012.58.10.000
N047.42.28.000 E012.58.10.000
N047.42.27.000 E012.58.31.000
N047.42.27.000 E012.58.31.000
N047.42.31.000 E012.59.29.000
N047.42.31.000 E012.59.29.000
N047.42.47.000 E012.59.41.000
N047.42.47.000 E012.59.41.000
N047.43.00.000 E013.00.21.000
N047.43.00.000 E013.00.21.000
N047.43.12.000 E013.00.28.000
N047.43.12.000 E013.00.28.000
N047.43.20.000 E013.00.34.000
N047.43.20.000 E013.00.34.000
N047.43.22.000 E013.01.06.000
N047.43.22.000 E013.01.06.000
N047.43.14.000 E013.01.19.000
N047.43.14.000 E013.01.19.000
N047.42.59.000 E013.01.37.000
N047.42.59.000 E013.01.37.000
N047.43.00.000 E013.01.50.000
N047.43.00.000 E013.01.50.000
N047.42.52.000 E013.02.23.000
N047.42.52.000 E013.02.23.000
N047.42.46.000 E013.02.32.000
N047.42.46.000 E013.02.32.000
N047.42.37.000 E013.02.58.000
N047.42.37.000 E013.02.58.000
N047.42.13.000 E013.03.20.000
N047.42.13.000 E013.03.20.000
N047.41.44.000 E013.03.47.000
N047.41.44.000 E013.03.47.000
N047.41.35.000 E013.04.03.000
N047.41.35.000 E013.04.03.000
N047.41.30.000 E013.04.23.000
N047.41.30.000 E013.04.23.000
N047.41.17.000 E013.04.42.000
N047.41.17.000 E013.04.42.000
N047.40.23.000 E013.04.37.000
N047.40.23.000 E013.04.37.000
N047.39.44.000 E013.04.48.000
N047.39.44.000 E013.04.48.000
N047.39.28.000 E013.05.08.000
N047.39.28.000 E013.05.08.000
N047.39.04.000 E013.05.18.000
N047.39.04.000 E013.05.18.000
N047.38.48.000 E013.05.26.000
N047.38.48.000 E013.05.26.000
N047.38.26.000 E013.05.49.000
N047.38.26.000 E013.05.49.000
N047.37.54.000 E013.05.48.000
N047.37.54.000 E013.05.48.000
N047.37.37.000 E013.05.35.000
N047.37.37.000 E013.05.35.000
N047.37.10.000 E013.04.57.000
N047.37.10.000 E013.04.57.000
N047.36.51.000 E013.04.38.000
N047.36.51.000 E013.04.38.000
N047.36.25.000 E013.04.17.000
N047.36.25.000 E013.04.17.000
N047.36.12.000 E013.03.56.000
N047.36.12.000 E013.03.56.000
N047.36.06.000 E013.03.48.000
N047.36.06.000 E013.03.48.000
N047.35.56.000 E013.03.49.000
N047.35.56.000 E013.03.49.000
N047.35.37.000 E013.04.02.000
N047.35.37.000 E013.04.02.000
N047.35.29.000 E013.04.15.000
N047.35.29.000 E013.04.15.000
N047.35.08.000 E013.04.06.000
N047.35.08.000 E013.04.06.000
N047.35.00.000 E013.02.37.000
N047.35.00.000 E013.02.37.000
N047.34.48.000 E013.02.42.000
N047.34.48.000 E013.02.42.000
N047.34.38.000 E013.02.35.000
N047.34.38.000 E013.02.35.000
N047.34.18.000 E013.02.39.000
N047.34.18.000 E013.02.39.000
N047.34.07.000 E013.02.46.000
N047.34.07.000 E013.02.46.000
N047.33.48.000 E013.03.02.000
N047.33.48.000 E013.03.02.000
N047.33.43.000 E013.03.27.000
N047.33.43.000 E013.03.27.000
N047.33.37.000 E013.03.23.000
N047.33.37.000 E013.03.23.000
N047.33.26.000 E013.03.20.000
N047.33.26.000 E013.03.20.000
N047.33.01.000 E013.02.41.000
N047.33.01.000 E013.02.41.000
N047.32.45.000 E013.02.33.000
N047.32.45.000 E013.02.33.000
N047.32.34.000 E013.02.13.000
N047.32.34.000 E013.02.13.000
N047.32.22.000 E013.02.12.000
N047.32.22.000 E013.02.12.000
N047.32.11.000 E013.02.02.000
N047.32.11.000 E013.02.02.000
N047.31.57.000 E013.01.51.000
N047.31.57.000 E013.01.51.000
N047.31.35.000 E013.02.31.000
N047.31.35.000 E013.02.31.000
N047.31.17.000 E013.02.50.000
N047.31.17.000 E013.02.50.000
N047.31.14.000 E013.02.41.000
N047.31.14.000 E013.02.41.000
N047.30.57.000 E013.02.37.000
N047.30.57.000 E013.02.37.000
N047.30.53.000 E013.02.48.000
N047.30.53.000 E013.02.48.000
N047.30.20.000 E013.02.49.000
N047.30.20.000 E013.02.49.000
N047.29.53.000 E013.02.53.000
N047.29.53.000 E013.02.53.000
N047.29.40.000 E013.02.45.000
N047.29.40.000 E013.02.45.000
N047.29.27.000 E013.02.39.000
N047.29.27.000 E013.02.39.000
N047.29.19.000 E013.02.22.000
N047.29.19.000 E013.02.22.000
N047.29.15.000 E013.02.03.000
N047.29.15.000 E013.02.03.000
N047.29.12.000 E013.01.43.000
N047.29.12.000 E013.01.43.000
N047.29.06.000 E013.01.32.000
N047.29.06.000 E013.01.32.000
N047.28.39.000 E013.01.19.000
N047.28.39.000 E013.01.19.000
N047.28.14.000 E013.00.53.000
N047.28.14.000 E013.00.53.000
N047.27.51.000 E013.00.23.000
N047.27.51.000 E013.00.23.000
N047.27.50.000 E013.00.03.000
N047.27.50.000 E013.00.03.000
N047.28.18.000 E012.59.36.000
N047.28.18.000 E012.59.36.000
N047.28.42.000 E012.59.29.000
N047.28.42.000 E012.59.29.000
N047.28.49.000 E012.59.09.000
N047.28.49.000 E012.59.09.000
N047.28.57.000 E012.58.49.000
N047.28.57.000 E012.58.49.000
N047.29.04.000 E012.58.40.000
N047.29.04.000 E012.58.40.000
N047.28.59.000 E012.58.24.000
N047.28.59.000 E012.58.24.000
N047.28.42.000 E012.58.21.000
N047.28.42.000 E012.58.21.000
N047.28.27.000 E012.58.15.000
N047.28.27.000 E012.58.15.000
N047.28.37.000 E012.57.37.000
N047.28.37.000 E012.57.37.000
N047.29.17.000 E012.55.57.000
N047.29.17.000 E012.55.57.000
N047.29.23.000 E012.55.42.000
N047.29.23.000 E012.55.42.000
N047.30.45.000 E012.53.09.000
N047.30.45.000 E012.53.09.000
N047.30.49.000 E012.53.04.000
N047.30.49.000 E012.53.04.000
N047.30.60.000 E012.53.03.000
N047.30.60.000 E012.53.03.000
N047.31.12.000 E012.52.58.000
N047.31.12.000 E012.52.58.000
N047.31.22.000 E012.52.32.000
N047.31.22.000 E012.52.32.000
N047.31.25.000 E012.52.18.000
N047.31.25.000 E012.52.18.000
N047.31.31.000 E012.51.52.000
N047.31.31.000 E012.51.52.000
N047.31.36.000 E012.51.26.000
N047.31.36.000 E012.51.26.000
N047.31.49.000 E012.51.10.000
N047.31.49.000 E012.51.10.000
N047.32.10.000 E012.50.57.000
N047.32.10.000 E012.50.57.000
N047.32.26.000 E012.50.60.000
N047.32.26.000 E012.50.60.000
N047.32.40.000 E012.50.54.000
N047.32.40.000 E012.50.54.000
N047.32.48.000 E012.50.33.000
N047.32.48.000 E012.50.33.000
N047.32.42.000 E012.49.52.000
N047.32.42.000 E012.49.52.000
N047.32.45.000 E012.49.21.000
N047.32.45.000 E012.49.21.000
N047.32.43.000 E012.48.59.000
N047.32.43.000 E012.48.59.000
N047.32.50.000 E012.48.40.000
N047.32.50.000 E012.48.40.000
N047.32.60.000 E012.48.14.000
N047.32.60.000 E012.48.14.000
N047.33.24.000 E012.47.40.000
N047.33.24.000 E012.47.40.000
N047.33.54.000 E012.47.32.000
N047.33.54.000 E012.47.32.000
N047.34.04.000 E012.47.10.000
N047.34.04.000 E012.47.10.000
N047.34.26.000 E012.46.53.000
N047.34.26.000 E012.46.53.000
N047.34.43.000 E012.46.47.000
N047.34.43.000 E012.46.47.000
N047.34.51.000 E012.46.51.000
N047.34.51.000 E012.46.51.000
N047.34.57.000 E012.46.53.000
N047.34.57.000 E012.46.53.000
N047.35.11.000 E012.47.11.000
N047.35.11.000 E012.47.11.000
N047.35.27.000 E012.47.36.000
N047.35.27.000 E012.47.36.000
N047.35.50.000 E012.47.29.000
N047.35.50.000 E012.47.29.000
N047.36.05.000 E012.47.39.000
N047.36.05.000 E012.47.39.000
N047.36.13.000 E012.47.50.000
N047.36.13.000 E012.47.50.000
N047.36.19.000 E012.48.10.000
N047.36.19.000 E012.48.10.000
N047.36.36.000 E012.48.26.000
N047.36.36.000 E012.48.26.000
N047.36.34.000 E012.49.22.000
N047.36.34.000 E012.49.22.000
N047.36.59.000 E012.49.05.000
N047.36.59.000 E012.49.05.000
N047.37.33.000 E012.47.57.000
N047.37.33.000 E012.47.57.000
N047.37.39.000 E012.47.51.000
N047.37.39.000 E012.47.51.000
N047.37.55.000 E012.47.05.000
N047.37.55.000 E012.47.05.000
N047.38.21.000 E012.46.17.000
N047.38.21.000 E012.46.17.000
N047.38.38.000 E012.45.57.000
N047.38.38.000 E012.45.57.000
N047.38.60.000 E012.45.34.000
N047.38.60.000 E012.45.34.000
N047.39.14.000 E012.45.33.000
N047.39.14.000 E012.45.33.000
N047.39.19.000 E012.45.57.000
N047.39.19.000 E012.45.57.000
N047.39.36.000 E012.46.37.000
N047.39.36.000 E012.46.37.000
N047.39.46.000 E012.46.40.000
N047.39.46.000 E012.46.40.000
N047.40.12.000 E012.46.57.000
N047.40.12.000 E012.46.57.000
N047.40.20.000 E012.46.56.000
N047.40.20.000 E012.46.56.000
N047.39.58.000 E012.46.23.000
N047.39.58.000 E012.46.23.000
N047.40.01.000 E012.45.57.000
N047.40.01.000 E012.45.57.000
N047.39.47.000 E012.45.30.000
N047.39.47.000 E012.45.30.000
N047.39.50.000 E012.45.25.000
N047.39.50.000 E012.45.25.000
N047.39.58.000 E012.45.21.000
N047.39.58.000 E012.45.21.000
N047.40.05.000 E012.45.17.000
N047.40.05.000 E012.45.17.000
N047.40.14.000 E012.45.01.000
N047.40.14.000 E012.45.01.000
N047.40.26.000 E012.44.49.000
N047.40.26.000 E012.44.49.000
N047.40.34.000 E012.44.21.000
N047.40.34.000 E012.44.21.000
N047.40.44.000 E012.44.01.000
N047.40.44.000 E012.44.01.000
N047.40.41.000 E012.43.31.000
N047.40.41.000 E012.43.31.000
N047.40.35.000 E012.43.03.000
N047.40.35.000 E012.43.03.000
N047.40.42.000 E012.42.34.000
N047.40.42.000 E012.42.34.000
N047.40.46.000 E012.42.02.000
N047.40.46.000 E012.42.02.000
N047.40.52.000 E012.41.21.000
N047.40.52.000 E012.41.21.000
N047.40.57.000 E012.40.59.000
N047.40.57.000 E012.40.59.000
N047.40.50.000 E012.40.13.000
N047.40.50.000 E012.40.13.000
N047.40.33.000 E012.39.26.000
N047.40.33.000 E012.39.26.000
N047.40.24.000 E012.39.19.000
N047.40.24.000 E012.39.19.000
N047.40.15.000 E012.39.00.000
N047.40.15.000 E012.39.00.000
N047.40.24.000 E012.38.44.000
N047.40.24.000 E012.38.44.000
N047.40.19.000 E012.38.27.000
N047.40.19.000 E012.38.27.000
N047.40.18.000 E012.38.14.000
N047.40.18.000 E012.38.14.000
N047.40.32.000 E012.37.53.000
N047.40.32.000 E012.37.53.000
N047.40.29.000 E012.37.36.000
N047.40.29.000 E012.37.36.000
N047.40.24.000 E012.37.18.000
N047.40.24.000 E012.37.18.000
N047.40.21.000 E012.36.50.000
N047.40.21.000 E012.36.50.000
N047.40.23.000 E012.36.20.000
N047.40.23.000 E012.36.20.000
N047.40.07.000 E012.36.07.000
N047.40.07.000 E012.36.07.000
N047.38.50.000 E012.34.58.000
N047.38.50.000 E012.34.58.000
N047.38.12.000 E012.34.42.000
N047.38.12.000 E012.34.42.000
N047.37.59.000 E012.34.32.000
N047.37.59.000 E012.34.32.000
N047.38.11.000 E012.32.10.000
N047.38.11.000 E012.32.10.000
N047.37.31.000 E012.30.44.000
N047.37.31.000 E012.30.44.000
N047.38.06.000 E012.29.26.000
N047.38.06.000 E012.29.26.000
N047.38.51.000 E012.28.13.000
N047.38.51.000 E012.28.13.000
N047.39.46.000 E012.27.19.000
N047.39.46.000 E012.27.19.000
N047.39.60.000 E012.27.09.000
N047.39.60.000 E012.27.09.000
N047.40.18.000 E012.26.39.000
N047.40.18.000 E012.26.39.000
N047.40.25.000 E012.26.40.000
N047.40.25.000 E012.26.40.000
N047.40.36.000 E012.26.26.000
N047.40.36.000 E012.26.26.000
N047.40.47.000 E012.26.22.000
N047.40.47.000 E012.26.22.000
N047.41.16.000 E012.26.28.000
N047.41.16.000 E012.26.28.000
N047.41.26.000 E012.26.30.000
N047.41.26.000 E012.26.30.000
N047.41.36.000 E012.26.25.000
N047.41.36.000 E012.26.25.000
N047.41.39.000 E012.25.57.000
N047.41.39.000 E012.25.57.000
N047.41.37.000 E012.24.48.000
N047.41.37.000 E012.24.48.000
N047.41.23.000 E012.23.34.000
N047.41.23.000 E012.23.34.000
N047.41.10.000 E012.22.37.000
N047.41.10.000 E012.22.37.000
N047.41.01.000 E012.21.49.000
N047.41.01.000 E012.21.49.000
N047.41.27.000 E012.21.07.000
N047.41.27.000 E012.21.07.000
N047.41.32.000 E012.20.48.000
N047.41.32.000 E012.20.48.000
N047.41.25.000 E012.20.28.000
N047.41.25.000 E012.20.28.000
N047.41.33.000 E012.20.06.000
N047.41.33.000 E012.20.06.000
N047.41.24.000 E012.17.31.000
N047.41.24.000 E012.17.31.000
N047.41.16.000 E012.16.39.000
N047.41.16.000 E012.16.39.000
N047.40.50.000 E012.16.03.000
N047.40.50.000 E012.16.03.000
N047.40.46.000 E012.15.18.000
N047.40.46.000 E012.15.18.000
N047.41.15.000 E012.14.45.000
N047.41.15.000 E012.14.45.000
N047.42.41.000 E012.14.51.000
N047.42.41.000 E012.14.51.000
N047.42.51.000 E012.15.02.000
N047.42.51.000 E012.15.02.000
N047.43.10.000 E012.15.18.000
N047.43.10.000 E012.15.18.000
N047.43.57.000 E012.15.53.000
N047.43.57.000 E012.15.53.000
N047.44.34.000 E012.15.25.000
N047.44.34.000 E012.15.25.000
N047.43.52.000 E012.14.20.000
N047.43.52.000 E012.14.20.000
N047.42.39.000 E012.12.39.000
N047.42.39.000 E012.12.39.000
N047.42.37.000 E012.12.21.000
N047.42.37.000 E012.12.21.000
N047.42.27.000 E012.11.57.000
N047.42.27.000 E012.11.57.000
N047.42.26.000 E012.11.40.000
N047.42.26.000 E012.11.40.000
N047.42.06.000 E012.11.09.000
N047.42.06.000 E012.11.09.000
N047.42.04.000 E012.09.44.000
N047.42.04.000 E012.09.44.000
N047.40.49.000 E012.10.06.000
N047.40.49.000 E012.10.06.000
N047.40.09.000 E012.10.51.000
N047.40.09.000 E012.10.51.000
N047.39.36.000 E012.11.05.000
N047.39.36.000 E012.11.05.000
N047.37.49.000 E012.12.09.000
N047.37.49.000 E012.12.09.000
N047.36.50.000 E012.12.29.000
N047.36.50.000 E012.12.29.000
N047.36.28.000 E012.12.21.000
N047.36.28.000 E012.12.21.000
N047.36.18.000 E012.11.35.000
N047.36.18.000 E012.11.35.000
N047.36.09.000 E012.10.49.000
N047.36.09.000 E012.10.49.000
N047.36.04.000 E012.10.38.000
N047.36.04.000 E012.10.38.000
N047.36.37.000 E012.10.53.000
N047.36.37.000 E012.10.53.000
N047.36.50.000 E012.10.20.000
N047.36.50.000 E012.10.20.000
N047.36.47.000 E012.09.44.000
N047.36.47.000 E012.09.44.000
N047.36.32.000 E012.08.59.000
N047.36.32.000 E012.08.59.000
N047.36.27.000 E012.08.43.000
